seed,binary codification,max layers,max convs per layer,layers,training secs,epochs,val_loss,val_iou,val_dice,val_dice crossentropy,val_accuracy,train_loss,train_iou,train_dice,train_dice crossentropy,train_accuracy
0,AAAAAAAAALTCZLS2GNZXAXGFK7VBUC6YPLYADMQ_192,4,2,3,455.17292240000097,6,0.5485808769861857,0.4514191230138143,0.6209800943732262,0.3573231702049573,0.7821989377339681,0.553627715135614,0.4463721577078104,0.6160028871148825,0.35422748165826,0.7787400086720785
1,AAAAAAAAAAAAAAAAAAAHCHGVQT4I7EQAFAHBI4Q_192,4,2,2,1192.8096974999935,43,0.1358313525716463,0.8641686474283536,0.9259171053767205,0.6811689009269078,0.9224788029988606,0.1336791697889566,0.866295208906134,0.92729811022679,0.6824607733637095,0.9229830662409464
2,AAAAAAAAAAAAAAAAAAADJ56LYPVY4A4KUZQAARY_192,4,2,2,227.2551336999749,6,0.6873543312152227,0.3126456687847773,0.4746043841044108,0.2373675435781478,0.2849106470743815,0.6802888949712117,0.3197109042356411,0.4826698495695988,0.2414050831149022,0.2922839085261027
3,AAAAAAAAAAAAAAAAAAAF2MADYQABTZUZWZQABMA_192,4,2,2,463.13793880000594,14,0.2900782197713852,0.7099217802286149,0.827178955078125,0.5591443012158076,0.8744898478190104,0.1231476911654075,0.8768514769772688,0.933564895267288,0.659336206689477,0.9273452202479044
4,AAAAAAAAAAAAAAAAAD24A4AALQABXPSDGDAADVY_192,4,2,2,206.8919860000024,9,0.682545971373717,0.317454028626283,0.4801850308974584,0.256383204460144,0.2909971555074056,0.6823964896301429,0.3176034390926361,0.480290869747599,0.2569659949590762,0.2907622814178466
5,L4CSYABB3IIOLOFEDAABBMAAQYAALFXDUBT4H5Y_192,4,2,4,605.7044891999976,34,0.1379179482658704,0.8620820517341296,0.9252953439950944,0.6784199173251788,0.9250971794128418,0.1296144865453243,0.8703964316596587,0.9301865946501492,0.6817399787406127,0.9282308101654052
6,AAYQYABNEAB2L3RN4FDUKEABWYABZIQAN6IAHVQ_192,4,2,4,868.3932519000082,27,0.0630267615119616,0.9369732384880384,0.9673404917120934,0.7186652506391208,0.94375155766805,0.0504954891900221,0.949483043452104,0.9740306980907916,0.7250396500031153,0.9480246146519978
7,AAAAAAAAAABGBAA2HAADK4ABRQAA3BRANDAAHXA_192,4,2,3,122.9131593000202,6,0.6785314227143924,0.3214685772856077,0.4845904673139254,0.2442294562856356,0.2936687469482422,0.6825284731884798,0.3174727185318867,0.4801399004956087,0.2419484723359346,0.2900943835576375
8,AAAAAAAAAAAAAAAAAEBBBUADIXRJ4LQAMAKMPEI_192,4,2,2,342.1632734000159,9,0.2803941622376442,0.7196058377623558,0.833047105371952,0.5472039798895518,0.880699094136556,0.176180774718523,0.8238180976361036,0.9016026994834344,0.6273991543799639,0.9091241916020713
9,AAAAAAAABYPQ76H3QEBWA4ADOE3EQMQAELQACBI_192,4,2,3,9344.42204460001,49,0.1288579290111859,0.871142070988814,0.930415899058183,0.6488165865341823,0.9258338610331216,0.1255765708784262,0.8744225177913905,0.9322334182759126,0.652680513014396,0.9273184696833292
10,AAIQIAGFRIJIXAA6V4DOJVSUOAAA7PQAF6J56QQ_192,4,2,4,2141.49212000001,33,0.0609364464879036,0.9390635535120964,0.9684609025716782,0.7153801783919335,0.9450977007548016,0.0514171914507945,0.9485817319403091,0.973505490894119,0.7198475852608681,0.946772575378418
11,AAAAAAAADGIWRAAGWAAPKEADZQAAYBVJNDAAGNQ_192,4,2,3,1075.7596717000124,20,0.1327610080440839,0.8672389919559161,0.9284084171056748,0.6851041619976361,0.9278140385945638,0.1019854898254076,0.8980020242432754,0.94590839308997,0.6953765383611122,0.935698135693868
12,AAAAAAAADW4SBYU6MFDWBMADO4AAHYQADKIAGXA_192,4,2,3,1528.8037338999857,15,0.6797790636618932,0.3202209363381068,0.4833204865455627,0.2623328213890393,0.2941099484761556,0.68340626321733,0.3166080185522635,0.4792657653490702,0.2600705870737632,0.2899840831756591
13,AAAAAAAADWPQNAA5TAAHC4ADWAAA5LQAHJKN7BY_192,4,2,3,37613.46302580001,32,0.0735170592864354,0.9264829407135644,0.9616642713546752,0.7001688713828723,0.9438983599344888,0.0740676750739415,0.9259305300811926,0.961321662242214,0.6987687653551499,0.9420536915461224
14,AAAAAAAAAAAAAAAAAAAH3M6R2UZO5YQAC3AAB5Y_192,4,2,2,368.6754338000028,31,0.1191876242558161,0.8808123757441838,0.9362368156512578,0.681770883500576,0.9282734235127766,0.1253507792949676,0.8746261607855559,0.9324011451254288,0.6784451944132646,0.9280758062998454
15,AAAAAAAAAAAAAAAAAAANYEABQCAANJXLFBIAD7A_192,4,2,2,488.4982361000002,29,0.1688575396935145,0.8311424603064855,0.9067515730857848,0.6285372669498126,0.9092423756917316,0.1795733994493882,0.8204240454981725,0.8998904368529718,0.6261580388993024,0.9079413890838623
16,AAAAAAAADCVSB5WNSVZ7IEAD2BTMZOUD4OIADQA_192,4,2,3,10018.062556200006,25,0.0772425030668576,0.9227574969331424,0.9595613479614258,0.70717443972826,0.9406617482503256,0.0622995859632889,0.9376969758421184,0.9676977906376124,0.7155785714586576,0.9440059820810954
17,OWF4ZQSNMWAQNAALRT2OZ7KBCAXAQCQAG3YADTA_192,4,2,4,717.9831783000263,28,0.0708906476696332,0.9291093523303668,0.963082913060983,0.7097463761766751,0.943075466156006,0.0727953311055898,0.9272032299389442,0.9620134443044662,0.7082622059931357,0.9421501557032268
18,AAAAAAAAAAAAAAAAAAAOLUABSTRE7C5ZWBIAHEQ_192,4,2,2,3356.696904000012,26,0.3569621582825978,0.6430378417174022,0.7783831715583801,0.5596667880813281,0.8556429227193196,0.0884598678598801,0.9115011593947808,0.9533184682329496,0.7073140614976485,0.93709241549174
19,AA2MYACHA2VKHOCGBQADIMAD6X7HZEQAGJB5AVA_192,4,2,4,332.8550418000086,10,0.6850623269875844,0.3149376730124155,0.477582852045695,0.2653978655735651,0.288158384958903,0.6822280246764422,0.3177727712939183,0.4804268634567658,0.2677439533174038,0.2914719740549723
20,AAPRPQCELGRAL5XKRQAGZEABQG7MLCQAHZAAA5Q_192,4,2,4,2697.3393960999965,38,0.0580288231372833,0.9419711768627168,0.9700124363104502,0.7181034728884697,0.9453010241190593,0.0576788819084564,0.9423145590970914,0.9702087176342804,0.7187558963894844,0.945517102877299
21,AAAAAAAAAAAAAAAAAE3MCEADOJ5CIFQAE2WUPEA_192,4,2,2,3284.517380900012,39,0.0684496243794759,0.931550375620524,0.964445585012436,0.7048321982224782,0.9419775009155272,0.0715253787736098,0.9284734373291332,0.9627204318841298,0.7042093597352505,0.9428573369979858
22,AAAAAAAAAAAAAAAAAAAB2EAA64FHXLQAPDIABDA_192,4,2,2,1078.6370163999964,26,0.2678676043947537,0.7321323956052462,0.8421523675322533,0.6197515512506168,0.8778701782226562,0.2724974437306324,0.7274832472205162,0.8397336022307476,0.6164632751295964,0.8727974732716878
